10:34:39.100 [info] [Thread-30960] E:\PersionalData\github\Company\XY-Annotation-new\bin\msvc2015_x64\XY-Annotation.exe version: 1.24.5.17
10:35:05.623 [info] [Thread-14256] E:\PersionalData\github\Company\XY-Annotation-new\bin\msvc2015_x64\XY-Annotation.exe version: 1.24.5.17
10:35:40.065 [info] [Thread-30948] E:\PersionalData\github\Company\XY-Annotation-new\bin\msvc2015_x64\XY-Annotation.exe version: 1.24.5.17
10:36:05.505 [info] [Thread-6840] E:\PersionalData\github\Company\XY-Annotation-new\bin\msvc2015_x64\XY-Annotation.exe version: 1.24.5.17
10:37:46.966 [info] [Thread-1896] E:\PersionalData\github\Company\XY-Annotation-new\bin\msvc2015_x64\XY-Annotation.exe version: 1.24.5.17
10:43:17.226 [info] [Thread-25088] E:\PersionalData\github\Company\XY-Annotation-new\bin\msvc2015_x64\XY-Annotation.exe version: 1.24.5.17
10:50:22.186 [info] [Thread-30724] E:\PersionalData\github\Company\XY-Annotation-new\bin\msvc2015_x64\XY-Annotation.exe version: 1.24.5.17
10:52:59.079 [info] [Thread-12952] E:\PersionalData\github\Company\XY-Annotation-new\bin\msvc2015_x64\XY-Annotation.exe version: 1.24.5.17
11:12:57.068 [info] [Thread-31288] E:\PersionalData\github\Company\XY-Annotation-new\bin\msvc2015_x64\XY-Annotation.exe version: 1.24.5.17
11:14:21.586 [info] [Thread-31852] E:\PersionalData\github\Company\XY-Annotation-new\bin\msvc2015_x64\XY-Annotation.exe version: 1.24.5.17
11:17:03.157 [info] [Thread-24612] E:\PersionalData\github\Company\XY-Annotation-new\bin\msvc2015_x64\XY-Annotation.exe version: 1.24.5.17
11:18:02.534 [info] [Thread-3420] E:\PersionalData\github\Company\XY-Annotation-new\bin\msvc2015_x64\XY-Annotation.exe version: 1.24.5.17
11:19:20.520 [info] [Thread-16436] E:\PersionalData\github\Company\XY-Annotation-new\bin\msvc2015_x64\XY-Annotation.exe version: 1.24.5.17
11:29:39.982 [info] [Thread-29252] E:\PersionalData\github\Company\XY-Annotation-new\bin\msvc2015_x64\XY-Annotation.exe version: 1.24.5.17
11:38:23.154 [info] [Thread-13612] E:\PersionalData\github\Company\XY-Annotation-new\bin\msvc2015_x64\XY-Annotation.exe version: 1.24.5.17
11:39:07.752 [info] [Thread-11424] E:\PersionalData\github\Company\XY-Annotation-new\bin\msvc2015_x64\XY-Annotation.exe version: 1.24.5.17
11:40:46.802 [info] [Thread-27056] E:\PersionalData\github\Company\XY-Annotation-new\bin\msvc2015_x64\XY-Annotation.exe version: 1.24.5.17
11:42:57.113 [info] [Thread-10928] E:\PersionalData\github\Company\XY-Annotation-new\bin\msvc2015_x64\XY-Annotation.exe version: 1.24.5.17
11:47:17.107 [info] [Thread-31860] E:\PersionalData\github\Company\XY-Annotation-new\bin\msvc2015_x64\XY-Annotation.exe version: 1.24.5.17
11:47:17.107 [info] [Thread-31860] [2024-05-17 11:47:17.107][INFO ] ================<app start>================

11:47:18.377 [info] [Thread-31860] [2024-05-17 11:47:18.376][DEBUG] ?getImage@CanvasBase@@QEBA?AVQImage@@XZ:image is null

11:47:23.566 [info] [Thread-31860] [2024-05-17 11:47:23.565][DEBUG] "E:/Desktop/TestPic/"

11:47:27.154 [info] [Thread-31860] [2024-05-17 11:47:27.153][DEBUG] wheelEvent -120 1

11:47:27.175 [info] [Thread-31860] [2024-05-17 11:47:27.174][DEBUG] wheelEvent -120 1

11:47:27.215 [info] [Thread-31860] [2024-05-17 11:47:27.214][DEBUG] wheelEvent -120 1

11:47:27.255 [info] [Thread-31860] [2024-05-17 11:47:27.254][DEBUG] wheelEvent -120 1

11:47:27.631 [info] [Thread-31860] [2024-05-17 11:47:27.631][DEBUG] wheelEvent 120 -1

11:47:27.647 [info] [Thread-31860] [2024-05-17 11:47:27.646][DEBUG] wheelEvent 120 -1

11:47:27.655 [info] [Thread-31860] [2024-05-17 11:47:27.654][DEBUG] wheelEvent 120 -1

11:47:27.671 [info] [Thread-31860] [2024-05-17 11:47:27.670][DEBUG] wheelEvent 120 -1

11:47:27.678 [info] [Thread-31860] [2024-05-17 11:47:27.678][DEBUG] wheelEvent 120 -1

11:47:27.694 [info] [Thread-31860] [2024-05-17 11:47:27.694][DEBUG] wheelEvent 120 -1

11:47:28.007 [info] [Thread-31860] [2024-05-17 11:47:28.006][DEBUG] wheelEvent 120 -1

11:47:28.023 [info] [Thread-31860] [2024-05-17 11:47:28.022][DEBUG] wheelEvent 120 -1

11:47:28.039 [info] [Thread-31860] [2024-05-17 11:47:28.038][DEBUG] wheelEvent 120 -1

11:47:28.054 [info] [Thread-31860] [2024-05-17 11:47:28.054][DEBUG] wheelEvent 120 -1

11:47:28.087 [info] [Thread-31860] [2024-05-17 11:47:28.086][DEBUG] wheelEvent 120 -1

11:47:28.431 [info] [Thread-31860] [2024-05-17 11:47:28.430][DEBUG] wheelEvent 120 -1

11:47:28.439 [info] [Thread-31860] [2024-05-17 11:47:28.438][DEBUG] wheelEvent 120 -1

11:47:28.454 [info] [Thread-31860] [2024-05-17 11:47:28.454][DEBUG] wheelEvent 120 -1

11:47:28.471 [info] [Thread-31860] [2024-05-17 11:47:28.470][DEBUG] wheelEvent 120 -1

11:47:28.511 [info] [Thread-31860] [2024-05-17 11:47:28.510][DEBUG] wheelEvent 120 -1

11:47:28.759 [info] [Thread-31860] [2024-05-17 11:47:28.758][DEBUG] wheelEvent 120 -1

11:47:28.783 [info] [Thread-31860] [2024-05-17 11:47:28.782][DEBUG] wheelEvent 120 -1

11:47:28.790 [info] [Thread-31860] [2024-05-17 11:47:28.790][DEBUG] wheelEvent 120 -1

11:47:28.823 [info] [Thread-31860] [2024-05-17 11:47:28.823][DEBUG] wheelEvent 120 -1

11:47:28.847 [info] [Thread-31860] [2024-05-17 11:47:28.847][DEBUG] wheelEvent 120 -1

11:47:29.079 [info] [Thread-31860] [2024-05-17 11:47:29.079][DEBUG] wheelEvent 120 -1

11:47:29.095 [info] [Thread-31860] [2024-05-17 11:47:29.095][DEBUG] wheelEvent 120 -1

11:47:29.111 [info] [Thread-31860] [2024-05-17 11:47:29.110][DEBUG] wheelEvent 120 -1

11:47:29.120 [info] [Thread-31860] [2024-05-17 11:47:29.120][DEBUG] wheelEvent 120 -1

11:47:29.135 [info] [Thread-31860] [2024-05-17 11:47:29.135][DEBUG] wheelEvent 120 -1

11:47:29.191 [info] [Thread-31860] [2024-05-17 11:47:29.191][DEBUG] wheelEvent 120 -1

11:47:29.607 [info] [Thread-31860] [2024-05-17 11:47:29.607][DEBUG] wheelEvent -120 1

11:47:29.631 [info] [Thread-31860] [2024-05-17 11:47:29.630][DEBUG] wheelEvent -120 1

11:47:29.647 [info] [Thread-31860] [2024-05-17 11:47:29.646][DEBUG] wheelEvent -120 1

11:47:29.654 [info] [Thread-31860] [2024-05-17 11:47:29.654][DEBUG] wheelEvent -120 1

11:47:29.671 [info] [Thread-31860] [2024-05-17 11:47:29.670][DEBUG] wheelEvent -120 1

11:47:29.694 [info] [Thread-31860] [2024-05-17 11:47:29.694][DEBUG] wheelEvent -120 1

11:47:29.710 [info] [Thread-31860] [2024-05-17 11:47:29.710][DEBUG] wheelEvent -120 1

11:47:29.742 [info] [Thread-31860] [2024-05-17 11:47:29.742][DEBUG] wheelEvent -120 1

11:47:29.975 [info] [Thread-31860] [2024-05-17 11:47:29.974][DEBUG] wheelEvent -120 1

11:47:29.991 [info] [Thread-31860] [2024-05-17 11:47:29.990][DEBUG] wheelEvent -120 1

11:47:30.007 [info] [Thread-31860] [2024-05-17 11:47:30.006][DEBUG] wheelEvent -120 1

11:47:30.022 [info] [Thread-31860] [2024-05-17 11:47:30.022][DEBUG] wheelEvent -120 1

11:47:30.055 [info] [Thread-31860] [2024-05-17 11:47:30.054][DEBUG] wheelEvent -120 1

11:47:30.079 [info] [Thread-31860] [2024-05-17 11:47:30.079][DEBUG] wheelEvent -120 1

11:47:30.319 [info] [Thread-31860] [2024-05-17 11:47:30.319][DEBUG] wheelEvent -120 1

11:47:30.335 [info] [Thread-31860] [2024-05-17 11:47:30.334][DEBUG] wheelEvent -120 1

11:47:30.351 [info] [Thread-31860] [2024-05-17 11:47:30.350][DEBUG] wheelEvent -120 1

11:48:13.135 [info] [Thread-31860] [2024-05-17 11:48:13.134][DEBUG] wheelEvent -120 1

11:48:13.463 [info] [Thread-31860] [2024-05-17 11:48:13.462][DEBUG] wheelEvent -120 1

11:48:13.535 [info] [Thread-31860] [2024-05-17 11:48:13.534][DEBUG] wheelEvent -120 1

11:48:13.943 [info] [Thread-31860] [2024-05-17 11:48:13.942][DEBUG] wheelEvent 120 -1

11:48:13.975 [info] [Thread-31860] [2024-05-17 11:48:13.974][DEBUG] wheelEvent 120 -1

11:48:14.031 [info] [Thread-31860] [2024-05-17 11:48:14.031][DEBUG] wheelEvent 120 -1

11:48:14.111 [info] [Thread-31860] [2024-05-17 11:48:14.110][DEBUG] wheelEvent 120 -1

11:48:15.919 [info] [Thread-31860] [2024-05-17 11:48:15.919][DEBUG] wheelEvent -120 1

11:48:15.975 [info] [Thread-31860] [2024-05-17 11:48:15.975][DEBUG] wheelEvent -120 1

11:48:16.143 [info] [Thread-31860] [2024-05-17 11:48:16.142][DEBUG] wheelEvent -120 1

11:48:16.255 [info] [Thread-31860] [2024-05-17 11:48:16.254][DEBUG] wheelEvent -120 1

11:48:16.455 [info] [Thread-31860] [2024-05-17 11:48:16.455][DEBUG] wheelEvent 120 -1

11:48:16.479 [info] [Thread-31860] [2024-05-17 11:48:16.478][DEBUG] wheelEvent 120 -1

11:48:16.511 [info] [Thread-31860] [2024-05-17 11:48:16.511][DEBUG] wheelEvent 120 -1

11:48:16.575 [info] [Thread-31860] [2024-05-17 11:48:16.575][DEBUG] wheelEvent 120 -1

11:48:24.087 [info] [Thread-31860] [2024-05-17 11:48:24.086][DEBUG] wheelEvent -120 1

11:48:24.103 [info] [Thread-31860] [2024-05-17 11:48:24.102][DEBUG] wheelEvent -120 1

11:48:24.119 [info] [Thread-31860] [2024-05-17 11:48:24.118][DEBUG] wheelEvent -120 1

11:48:24.143 [info] [Thread-31860] [2024-05-17 11:48:24.142][DEBUG] wheelEvent -120 1

11:48:24.551 [info] [Thread-31860] [2024-05-17 11:48:24.551][DEBUG] wheelEvent -120 1

11:48:24.567 [info] [Thread-31860] [2024-05-17 11:48:24.567][DEBUG] wheelEvent -120 1

11:48:24.583 [info] [Thread-31860] [2024-05-17 11:48:24.582][DEBUG] wheelEvent -120 1

11:48:24.615 [info] [Thread-31860] [2024-05-17 11:48:24.614][DEBUG] wheelEvent -120 1

11:48:24.975 [info] [Thread-31860] [2024-05-17 11:48:24.975][DEBUG] wheelEvent -120 1

11:48:24.991 [info] [Thread-31860] [2024-05-17 11:48:24.990][DEBUG] wheelEvent -120 1

11:48:25.007 [info] [Thread-31860] [2024-05-17 11:48:25.007][DEBUG] wheelEvent -120 1

11:48:25.031 [info] [Thread-31860] [2024-05-17 11:48:25.031][DEBUG] wheelEvent -120 1

11:48:25.071 [info] [Thread-31860] [2024-05-17 11:48:25.070][DEBUG] wheelEvent -120 1

11:48:34.383 [info] [Thread-31860] [2024-05-17 11:48:34.383][DEBUG] wheelEvent 120 -1

11:48:34.423 [info] [Thread-31860] [2024-05-17 11:48:34.423][DEBUG] wheelEvent 120 -1

11:48:34.447 [info] [Thread-31860] [2024-05-17 11:48:34.446][DEBUG] wheelEvent 120 -1

11:48:34.471 [info] [Thread-31860] [2024-05-17 11:48:34.471][DEBUG] wheelEvent 120 -1

11:48:34.503 [info] [Thread-31860] [2024-05-17 11:48:34.502][DEBUG] wheelEvent 120 -1

11:48:34.951 [info] [Thread-31860] [2024-05-17 11:48:34.950][DEBUG] wheelEvent 120 -1

11:48:34.967 [info] [Thread-31860] [2024-05-17 11:48:34.966][DEBUG] wheelEvent 120 -1

11:48:34.999 [info] [Thread-31860] [2024-05-17 11:48:34.999][DEBUG] wheelEvent 120 -1

11:48:35.015 [info] [Thread-31860] [2024-05-17 11:48:35.014][DEBUG] wheelEvent 120 -1

11:48:35.367 [info] [Thread-31860] [2024-05-17 11:48:35.366][DEBUG] wheelEvent 120 -1

11:48:35.391 [info] [Thread-31860] [2024-05-17 11:48:35.390][DEBUG] wheelEvent 120 -1

11:48:35.415 [info] [Thread-31860] [2024-05-17 11:48:35.414][DEBUG] wheelEvent 120 -1

11:48:35.447 [info] [Thread-31860] [2024-05-17 11:48:35.447][DEBUG] wheelEvent 120 -1

11:49:13.129 [info] [Thread-33352] E:\PersionalData\github\Company\XY-Annotation-new\bin\msvc2015_x64\XY-Annotation.exe version: 1.24.5.17
11:49:13.129 [info] [Thread-33352] [2024-05-17 11:49:13.128][INFO ] ================<app start>================

11:49:14.409 [info] [Thread-33352] [2024-05-17 11:49:14.408][DEBUG] ?getImage@CanvasBase@@QEBA?AVQImage@@XZ:image is null

11:49:23.173 [info] [Thread-33352] [2024-05-17 11:49:23.173][DEBUG] "E:/Desktop/TestPic/"

11:49:43.655 [info] [Thread-33352] [2024-05-17 11:49:43.655][DEBUG] wheelEvent -120 1 QPointF(1.40466,-21.7723)

11:49:43.783 [info] [Thread-33352] [2024-05-17 11:49:43.783][DEBUG] wheelEvent -120 1 QPointF(1.40466,-21.7723)

11:49:44.023 [info] [Thread-33352] [2024-05-17 11:49:44.023][DEBUG] wheelEvent -120 1 QPointF(1.40466,-21.7723)

11:49:44.071 [info] [Thread-33352] [2024-05-17 11:49:44.071][DEBUG] wheelEvent -120 1 QPointF(1.40466,-21.7723)

11:49:53.320 [info] [Thread-33352] [2024-05-17 11:49:53.319][DEBUG] wheelEvent -120 1 QPointF(1.40466,-21.7723)

11:49:53.416 [info] [Thread-33352] [2024-05-17 11:49:53.415][DEBUG] wheelEvent -120 1 QPointF(1.40466,-21.7723)

11:49:53.848 [info] [Thread-33352] [2024-05-17 11:49:53.847][DEBUG] wheelEvent -120 1 QPointF(1.40466,-21.7723)

